Genus,Species,Collect,Number,Collnum,Herbari,Country,Plheigh,Stemhei,Stemdia,Sheathl,Petiole,Peduncl,Distanc,Prophyl,Pedbrac,Apinlen,Apinwid,Apinang,Bpinang,Bpinlen,Bpinwid,Nodivis,Rachisl,Rachisw,Rachill,Fruitle,Fruitdi,Dlat,Dlong,Elevati
Hyospathe,elegans,Foster,347,8831,mo,peru,3,,,,,,3,,,,17,20,37,37,5,,,6.2,,,,-9.3,-74.97,275
Hyospathe,elegans,Vazquez,348,1927,mo,peru,4,,1.39,,9.5,3,4.5,,,,,21,47,,13,3,45.5,3.9,8,1.5,8.4,-2.92,-76.42,210
Hyospathe,elegans,Grandez,349,777,mo,peru,2,,,,9,,,,,,,,,,,1,,3.2,,,,-4.17,-73.5,125
Hyospathe,elegans,Freire,350,350,mo,peru,2,,,,,,,,,,,,,,,,,,,,,-0.75,-77.52,1050
Hyospathe,elegans,Zak,351,4534,mo,ecuador,3,,,,,,,,,,,,,,,,,,,,,-1.82,-76.7,260
Hyospathe,elegans,Zak,352,4842,mo,ecuador,4,,,,,,,,,,,,,,,,,,,,,-1.53,-76.85,300
Hyospathe,elegans,Gudino,353,414,mo,ecuador,1.5,,0.7,16,18.5,,,,,,,,,,,3,43,2.9,,,,-0.73,-76.87,400
Hyospathe,elegans,Gentry,354,19007,mo,peru,2.5,,1.36,,,5,,,,,,,,,,,,,,,,-2.25,-76.25,210
Hyospathe,elegans,Gentry,355,21062,mo,peru,,,0.92,,,,,,,,,,,,,,,,,,,-3.75,-73.25,130
Hyospathe,elegans,Gentry,356,36378,mo,peru,2,,,,,,,,,,,,,,,,,,,,,-8.75,-75.03,270
Hyospathe,elegans,Gentry,357,80958,mo,ecuador,1.5,,0.68,,,,,,,,,,,,,,,,,,,-4.3,-78.67,890
Hyospathe,elegans,Vazquez,358,7423,mo,peru,2,,0.59,11,3.5,2.5,,,,,,24,27,43,,1,19,3.1,7,,,-3.83,-74.17,150
Hyospathe,elegans,Freire,359,2188,mo,ecuador,,,,,,3,,,,,,,,,,,,,,7.9,5.1,0,-77.2,250
Hyospathe,elegans,Kujikat,360,10,mo,peru,6,,1.14,,,,,,,,,,,,,,,,,,,-4.5,-78.5,225
Hyospathe,elegans,Vazquez,362,6857,mo,peru,1.5,,0.83,14.5,9.5,3.3,,,,,,,,,,3,43.5,3.5,18,,,-3.8,-73.35,122
Hyospathe,elegans,Gudino,363,1373,mo,ecuador,1.5,,,,,,,,,,,,,,,,,,,,,-1.5,-78.5,500
Hyospathe,elegans,Gentry,364,28016,mo,peru,1.5,,0.88,13.5,12,2.4,,,,,,,,,,3,27,2.2,10,11,5.4,-3.25,-72.75,130
Hyospathe,elegans,Gentry,365,39722,mo,peru,1.5,,,,,,,,,,,,,,,,,,,,,-3.47,-72.83,130
Hyospathe,elegans,Gentry,368,29750,mo,peru,2,,,,,,,,,,,,,,,,,,,,,-2.8,-76.47,210
Hyospathe,elegans,Cornejo,369,2791,mo,peru,2.8,,,,24,5,,,,,2.5,16,55,29,0.5,17,63.5,5.2,33,,,-13.55,-69.66,1025
Hyospathe,elegans,Pipoly,370,12663,mo,peru,2.5,,0.68,,14,3.5,,,,30,,28,27,49,,1,21.5,2.8,16,,,-3.92,-73.59,90
Hyospathe,elegans,Gentry,371,42132,mo,peru,2.3,,0.51,,18.5,1.1,2.7,,,16,3,22,57,21,1,13,31,2.3,13,,,-10.17,-74.83,200
Hyospathe,elegans,Foster,372,7364,mo,peru,3.5,,,,,5,3.5,,,22,9,18,90,36,0.4,,,6.1,44,,,-12.92,-71.2,875
Hyospathe,elegans,Palacios,373,5532,mo,ecuador,3,,,,,,,,,,,,,,,,,,,,,-0.13,-77.47,1300
Hyospathe,elegans,Schunke,374,6646,mo,peru,3.5,,1.58,,17.5,3.5,,,,,,,,,,,,,12,,,-8.25,-76.5,360
Hyospathe,elegans,Aulestia,375,285,mo,ecuador,3,,,,,,,,,,,,,,,,,,,,,-0.55,-76.5,250
Hyospathe,elegans,Liesner,376,24304,mo,venezuela,1.3,,0.87,,15,2.6,,,,,,,40,50,7.5,3,46.5,3.5,13,8.8,5,5,-61.17,850
Hyospathe,elegans,Liesner,377,19252,mo,venezuela,2,,,,,,,,,,,,,,,,,,,,,4.5,-61.5,850
Hyospathe,elegans,Morillo,378,9037,mo,venezuela,1.5,,,,14,,,,,30.5,11,24,52,50,7.5,3,44,4.4,,11.8,6.6,6.23,-64.4,240
Hyospathe,elegans,Aymard,379,4840,mo,venezuela,4,,,,,,,,,,,,,,,,,,,,,4.67,-61.55,975
Hyospathe,elegans,Freire,380,496,mo,ecuador,3,,,,,,,,,,,,,,,,,,,,,-0.88,-77.55,1400
Hyospathe,elegans,Foster,381,7856,mo,peru,,3,,,14.5,3.5,,,,21,9,30,37,35.5,6.5,3,42,3.6,24,,,-10.2,-75.25,380
Hyospathe,elegans,Foster,382,8628,mo,peru,4.5,,6.3,14,,2,2.5,,,19,4.3,26,65,20,1.7,6,27.5,3,19,,,-10.33,-75,700
Hyospathe,elegans,Ortiz,383,95,mo,peru,2,,,,15,3,7.4,,,,9,35,50,27,4.5,3,33,2.6,9,,,-3.25,-72.92,140
Hyospathe,elegans,Gentry,384,29631,mo,peru,2,,,,,,,,,,,,,,,,,,,,,-2.8,-76.57,210
Hyospathe,elegans,Diaz,386,1357,mo,peru,3,,,,17,,,,,,,,,,,,,7.2,,8.8,5.2,-2.83,-76.47,210
Hyospathe,elegans,Vazquez,387,23294,mo,peru,4,,1.32,,7,4.3,,,,,,,15,,,1,,7,37,,,-4.12,-72.92,116
Hyospathe,elegans,Schunke,388,10244,mo,peru,3.5,,2.12,,,2.5,,11,12,,,,,,,,,,19,,,-8.42,-76.42,525
Hyospathe,elegans,Gentry,389,42004,mo,peru,3,,1.25,,18,2.1,,,,,,,,,,5,50.5,4.1,,8.5,6.3,-10.42,-75,550
Hyospathe,elegans,Smith,390,1934,mo,peru,2,,0.72,,16.5,,,,,,,,,,,3,24,2.9,,,,-10.2,-75.22,430
Hyospathe,elegans,Smith,391,1936,mo,peru,2.5,,1.06,,12,2.5,10,,31,21.5,6.5,34,50,33,5.5,4,41.5,3.6,,,,-10.2,-75.22,430
Hyospathe,elegans,Smith,392,1994,mo,peru,2.2,,0.73,,12.5,3,4,,,24,4.5,35,54,26,3.5,5,29,3.4,14,11.1,6.4,-10.18,-75.2,525
Hyospathe,elegans,Ceron,393,1711,mo,ecuador,3,,,,,,,,,,,,,,,,,,,,,-1.07,-77.6,450
Hyospathe,elegans,Ceron,394,2097,mo,ecuador,3,,,,10.7,,,,,,,,,,,3,,4.4,,,,-1.07,-77.6,450
Hyospathe,elegans,Smith,395,1930,mo,peru,2.5,,1.21,,17,2.2,,,,,,,,,,,,,17,,,-10.2,-75.22,430
Hyospathe,elegans,Foster,396,8837,mo,peru,2.5,,,,,,5,,,,,,40,,11,,,4.9,,,,-9.3,-74.97,275
Hyospathe,elegans,Davidson,397,5221,mo,peru,2,,0.84,,8.5,2.4,,,,24,,23,18,50,,2,35.5,3.4,17,,,-3.5,-73.25,150
Hyospathe,elegans,Huashikat,398,109,mo,peru,,,,,,,,,,,,,,,,,,,,,,,,
Hyospathe,elegans,Vazquez,399,7837,mo,peru,2,,0.81,,,,,,,,,,,,,,,,,,,-3.58,-73.25,106
Hyospathe,elegans,Barclay,400,9443,mo,colombia,,,,,,,,,,,,,,,,,,,,,,1.25,-76.75,1700
Hyospathe,elegans,Gentry,401,15826,mo,peru,4,,1.02,18.5,14.3,6.3,,,,,,,,,,,,,,,,-3.5,-73.25,150
Hyospathe,elegans,Neill,402,6699,mo,ecuador,3.5,,1.4,,,3,,,,,,,,,,,,,10,1.36,7.9,-1.48,-76.65,250
Hyospathe,elegans,Vazquez,403,3595,mo,peru,2,,,,,,,,,,,,,,,,,,,,,-4.17,-73.33,150
Hyospathe,elegans,Gentry,404,31614,mo,peru,,,,,,,,,,,,,,,,,,,,,,,,
Hyospathe,elegans,Gentry,405,31203,mo,peru,,,1.42,,,,,,,,,,,,,,,,,,,-8.68,-75,250
Hyospathe,elegans,Gentry,406,29152,mo,peru,2,,0.83,12.3,9.5,,,,,,,,,,,,,,,,,-3.47,-75.8,120
Hyospathe,elegans,Liesner,407,18928,mo,venezuela,2,,0.94,22.5,20.5,,,,,,,,,,,,,,,,,4.38,-61.63,520
Hyospathe,elegans,Ceron,408,9228,mo,ecuador,4,,,,,,,,,,,,,,,,,,,,,0.23,-77.22,1050
Hyospathe,elegans,Smith,409,13655,mo,bolivia,,2.2,0.85,,8.5,2.6,4.7,,,,11.5,,35,,8.2,3,39.5,4.3,19,9.1,4.9,-17,-64.77,290
Hyospathe,elegans,Vazquez,410,8995,mo,peru,2,,0.85,,,,,,,,,,,,,,,,,,,-4.48,-73.58,200
Hyospathe,elegans,Smith,411,3861,mo,peru,,3,1.36,,14.5,2.5,7.3,,,30,10.5,25,38,35,6.3,4,43,4,22,7,5.4,-10.2,-75.22,300
Hyospathe,elegans,de Nevers,121,8837,ny,panama,,5,,,,6.1,,,,24.8,,20,29,,,10,81,7.2,9,15.6,5.5,8.92,-82.08,250
Hyospathe,elegans,Grayum,129,8784,ny,costa rica,,4,,35,26,2.3,6.7,37,32.5,,20.5,35,60,50,5,8,94,8.5,20,,,10.03,-83.45,420
Hyospathe,elegans,Moore,222,6544,bh,costa rica,,6.5,1.13,32,20,,1.9,,,24,3,19,45,21.5,0.3,26,91.5,7.7,,,,9,-83.37,640
Hyospathe,elegans,de Nevers,228,7765,mo,costa rica,,3,1.17,24.3,35,1.8,2.5,26.7,,23.5,2.8,24,57,29.5,0.4,24,71,2.9,20,,,8.78,-82.97,1150
Hyospathe,elegans,Grayum,229,5969,mo,costa rica,5,,1.68,30,32.5,2.6,1.5,,,,2.5,23,55,,0.5,24,70.5,6.1,37,,,8.78,-82.97,1180
Hyospathe,elegans,Vasquez,27,13073,ny,peru,1.5,,0.66,14,3.5,2.5,,,,,,22,10,70,,1,37.5,3.8,9,,,-3.33,-72.92,116
Hyospathe,elegans,Vazquez,51,11814,ny,peru,1.5,,0.87,11,1,3.5,,,,26,,25,11,80,,1,41,,9,12.1,4,-3.33,-72.92,130
Hyospathe,elegans,Vazquez,52,11674,ny,peru,1,,0.8,13,2.8,3.7,,,,,,17,18,59,,1,29,4.4,8,,,-3.75,-72.92,110
Hyospathe,elegans,Vazquez,53,11130,ny,peru,1.2,,0.61,11,5,,,11,,,,18,12,45,,1,18.5,2.6,11,,,-3.75,-72.92,110
Hyospathe,elegans,Klug,138,181,ny,peru,1.5,,,,6,,,,,,,,17,,,1,,2.8,,,,,,100
Hyospathe,elegans,Killip,139,29694,ny,peru,1.5,,0.81,,6.7,4.7,,,,,,,19,,,1,,2.5,13,11.6,5.9,-3.83,-73.5,110
Hyospathe,elegans,Davis,165,871,ny,peru,2,,0.8,,,2.4,,,,,,,,,,,,,10,12,6.1,-3.33,-72,
Hyospathe,elegans,Vasquez,274,13108,mo,peru,1.5,,1.07,,4,3.5,,,,,,20,10,,,1,48,4.1,10,,,-3.33,-72.92,116
Hyospathe,elegans,Vazquez,301,4188,mo,peru,1.5,,0.77,10,2.5,2,,,,33,,25,23,55.5,,1,22.5,3.1,28,7.8,5,-4.28,-73.58,150
Hyospathe,elegans,Vazquez,302,3758,mo,peru,2,,0.88,,1.5,4,,,,,,,,,,1,,,,,,-3.3,-72.92,130
Hyospathe,elegans,Gentry,304,42723,mo,peru,3,,,,1.7,,,,,,,,16,,,2,,3.4,,10.9,6.5,-3.25,-72.92,130
Hyospathe,elegans,Gentry,305,39577,mo,peru,2,,0.9,11,2.5,2.8,,,,,,,19,,,1,,,8,,,-3,-73.47,160
Hyospathe,elegans,Gentry,308,54297,mo,peru,1.5,,0.82,,1.5,3,,,,21,,25,10,58,,1,37,3.1,9,11.9,6,-3.25,-72.92,140
Hyospathe,elegans,Gentry,335,74312,mo,peru,1,,0.81,,1,4.8,5,,,,9,15,17,40,8,3,38,4.3,9,,,-3.25,-72.92,130
Hyospathe,elegans,Gentry,361,42610,mo,peru,1.5,,0.74,,1.5,3.6,,,,30,,17,15,64,,1,36.5,3.8,10,,,-3.25,-72.92,150
Hyospathe,elegans,Gentry,385,55707,mo,peru,1.5,,0.67,11.5,1.5,2.4,,,,20.5,,35,20,36,,1,18,2.2,11,,,-3.5,-73.03,130
Hyospathe,elegans,de Nevers,122,9028,ny,panama,,3,,,,2.8,3.3,,,37.3,9.7,21,39,36.7,4.2,2,17.1,4,5,,,9.32,-78.92,300
Hyospathe,elegans,de Nevers,126,5234,ny,panama,,4,0.72,,,,,10.5,,21.5,,15,18,33,,1,21.5,2.7,,,,9.32,-78.92,200
Hyospathe,elegans,de Nevers,127,6941,ny,panama,,4,0.51,9.5,9.4,2.8,,8,,21,,23,25,28.5,,1,9,1.8,4,,,9.33,-79.13,450
Hyospathe,elegans,de Nevers,128,6643,ny,panama,,4,,,,3.3,,5.4,,26.5,,20,20,38.5,,1,13,1.8,5,,,9.38,-78.85,415
Hyospathe,elegans,Henderson,131,707,ny,panama,,3,0.83,16,7,,,7.7,,27.5,,18,25,48,,1,19.5,2.8,,,,9.33,-79,375
Hyospathe,elegans,Henderson,132,729,ny,panama,,3.5,0.56,11,9,,,9.5,,31,,24,25,42,,1,13.2,1.8,,,,9.33,-79,
Hyospathe,elegans,de Nevers,133,4714,ny,panama,,4,0.77,14.5,7.5,3,,8.5,,32.5,,16,27,49,,1,16.3,2.6,6,,,9.4,-79.13,80
Hyospathe,elegans,de Nevers,135,5043,ny,panama,,4,0.6,10,6.8,3,,5.5,,24,,25,28,34.5,,1,11,1.9,4,10.6,5.3,9.32,-78.92,200
Hyospathe,elegans,Mori,220,4116,bh,panama,2,,0.47,,5.5,4.3,,,,26,,21,25,37.5,,1,12,2.5,2,12.1,5.7,9.33,-79,400
Hyospathe,elegans,de Nevers,234,7380,mo,panama,,3,0.8,10,8,,,8.5,,24.5,,17,30,,,1,21,2.7,,,,9.32,-78.92,200
Hyospathe,elegans,de Nevers,235,7633,mo,panama,,4,0.65,13,7.5,,,9,,29,,22,20,,,1,20.5,2.5,,,,9.33,-79.17,
Hyospathe,elegans,de Nevers,236,6941,mo,panama,,4,,,5.5,4.5,,,25,23.5,,30,30,,,1,13,2.2,3,,,9.33,-79.13,450
Hyospathe,elegans,Herrera,237,1651,mo,panama,,2.5,0.79,16,7.5,3.8,,10.5,,27,,24,20,,,1,24.5,2.8,4,,,9.23,-78.25,130
Hyospathe,elegans,de Nevers,238,8006,mo,panama,,3,0.51,14.5,7,2.1,,7.5,,27,,27,20,,,1,14,2.3,4,,,9.38,-78.8,200
Hyospathe,elegans,de Nevers,239,7845,mo,panama,,3,0.59,9.3,5.8,,,5,,29,,18,20,,,1,14,2,,,,9.32,-78.92,200
Hyospathe,elegans,de Nevers,240,3926,mo,panama,,3,0.62,11,6.6,2,,6,,22,,19,23,,,1,16.5,2,6,,,9.32,-78.92,350
Hyospathe,elegans,Mori,241,2263,mo,panama,2,,0.43,8.5,7,2.8,,,,18.5,,20,30,,,1,13.7,2.1,3,,,9.25,-78.93,
Hyospathe,elegans,Mori,242,6051,mo,panama,2,,0.46,9,8.4,3.2,,6.9,,22.8,,24,26,,,1,11.7,2.3,3,,,9.25,-79.33,750
Hyospathe,elegans,Knapp,243,5915,mo,panama,1.5,,0.64,,5,2.6,,7.5,20,24,,20,35,,,1,10.5,1.9,5,9.6,6.4,9.23,-79,450
