Palm_genus,Palm_epithet,Palm_species,Country_of_sampling,State,Biome,Site_name,Lat,Long,Site_ID,Palm_ID,Seed_ID,Seed_diameter_mm,Collected_measured_by,Year_of_sampling
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,58,9.66,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,59,8.09,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,60,8.8,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,61,8.65,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,62,7.18,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,63,9.27,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,64,9,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,65,8.67,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,66,9.37,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,67,8.4,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,68,8.8,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,69,8.92,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,70,8.8,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,71,8.49,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,72,9,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,73,8.76,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,74,8.68,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,75,8.76,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,76,8.73,CarolineMarquesDracxler,2011/2012
