Number,Genus,Species,Subspecies,Collector,Collnumber,Herbarium,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemhe,Stemdi,Shpele,Rachle,Rachwi,Nodivi,Asymme,Bapiwi,Bapimi,Differ,Basang,Apiang,Appile,Pedlen,Prople,Pedble,Peduwi,Distan,Norlla,Rllale,Rllawi,Pitwid,Pitlen,Dispit,Stapit,Fruidi,Fruile,Leafno,Stemfo,Pitcoll,Petiol,Pedtom,Filifo,Inflor,Pbscar,Prophy,Pbract,Pbsurf,Pbfold,Rachil,Rlltom,Upplip,Stasep,Flapdist,Flap,Inflobud,Flowerbud,Openfls,Immfrs,Matfrs,Oldinflo,Racpro,Lobes,Proxpin,Leaf,Fruitcolor,Lgstemhe,Lgstemdi,Lgshpele,Lgrachle,Lgrachwi,Squnodivi,Lgasymme,Lgbasang,Lgapiang,Lgappile,Lgpedlen,Lgprople,Lgpedble,Lgpeduwi,Lgdistan,Squnorlla,Lgrllale,Lgrllawi,Lgdispit,Lgfruidi,Lgfruile,Lgflapdist,Rachillacolo
26,Calyptrogyne,anomala,,de Nevers,6564,ny,panama,9.25,9.42,78.51,-78.85,,0.3,,,66.8,5.9,1,0.3,11.5,10.3,-1.2,15,17,38,25,12,18,3.8,3,2,8.5,3.8,1.6,1.4,3.2,2,5.3,9.8,,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,9,1,,,,,dec,,0,0,0,0,,-0.522878745,,,1.824776462,0.770852012,1,-0.522878745,1.176091259,1.230448921,1.579783597,1.397940009,1.079181246,1.255272505,0.579783597,0.477121255,1.414213562,0.929418926,0.579783597,0.505149978,0.72427587,0.991226076,0.954242509,0
380,Calyptrogyne,anomala,,de Nevers,6248,mo,panama,9.18,9.3,79.16,-79.27,750,0.2,5,38.7,31,2.7,1,1.7,,,,19,15,26,4.7,6.5,10.7,3.2,2,1,7.5,4.9,2.5,1.6,5,0,,,,1,1,0,1,0,2,2,0,1,1,1,0,0,0,0,,,nov,,,,,,0,0,0,0,,-0.698970004,0.698970004,1.587710965,1.491361694,0.431363764,1,0.230448921,1.278753601,1.176091259,1.414973348,0.672097858,0.812913357,1.029383778,0.505149978,0.301029996,1,0.875061263,0.69019608,0.698970004,,,,
335,Calyptrogyne,anomala,,Herrera,1405,mo,panama,9.14,9.23,78.15,-78.25,275,,,,,,,,,,,,,,,,17,3.9,3.5,3,8,3.5,1.7,1.4,2.7,1,,,9,1,1,1,1,,2,,0,1,1,1,1,0,0,,,,,,,oct,,,0,0,0,1,,,,,,,,,,,,,,1.230448921,0.591064607,0.544068044,1.732050808,0.903089987,0.544068044,0.431363764,,,,0
203,Calyptrogyne,anomala,,de Nevers,7737,cas,panama,9.2,9.33,79.45,-79.75,350,,,,25,2.4,3,2,1.6,1.6,0,17,11,28.9,9.6,7.6,14.5,2.1,2,1,9.3,4.1,2.1,1.4,5,1,,,,1,1,0,1,0,2,2,,1,1,1,0,0,0,,,,,,,may,,,,0,0,1,,,,,1.397940009,0.380211242,1.732050808,0.301029996,1.230448921,1.041392685,1.460897843,0.982271233,0.880813592,1.161368002,0.322219295,0.301029996,1,0.968482949,0.612783857,0.698970004,,,,0
286,Calyptrogyne,anomala,,Herrera,1239,scz,panama,9.22,9.37,78.35,-78.58,75,0.35,,33.5,,4.2,,4.2,,,,13,,,38.5,19.5,18,4.6,4.6,3,9,4.1,2,1.6,3.5,0,,,13,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,,,,,oct,,,,0,0,1,,-0.455931956,,1.525044807,,0.62324929,,0.62324929,1.113943352,,,1.58546073,1.290034611,1.255272505,0.662757832,0.662757832,1.732050808,0.954242509,0.612783857,0.544068044,,,,0
241,Calyptrogyne,anomala,,Duke,14900,bh,panama,9.25,9.42,78.34,-78.57,,,,,,,,,,,,,,,,,,4.7,5.5,3,12.2,4.1,1.7,1.5,4,1,,,,,1,1,1,,2,2,,1,1,1,1,0,0,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,0.672097858,0.740362689,1.732050808,1.086359831,0.612783857,0.602059991,,,,
242,Calyptrogyne,anomala,,Porter,4755,bh,panama,9.2,9.33,79.45,-79.75,,,,,48,4.6,5,1,,,,10,12,33,,,,3.9,2.4,2,9.5,4.1,2.7,1.7,3.5,1,,,,1,1,1,1,0,2,2,,1,1,1,1,0,0,,,,,,,mar,,,0,0,0,1,,,,,1.681241237,0.662757832,2.236067977,0,1,1.079181246,1.51851394,,,,0.591064607,0.380211242,1.414213562,0.977723605,0.612783857,0.544068044,,,,
173,Calyptrogyne,anomala,,de Nevers,7736,cas,panama,9.2,9.33,79.45,-79.75,350,,,31.5,22.5,,1,1,,,,19,15,25.2,10,7.5,13,1.9,1.6,1,9.5,4.1,2.2,1.7,2.9,,,,,1,1,0,1,0,2,2,0,1,1,1,0,0,0,,,,,,,may,,,,0,0,0,,,,1.498310554,1.352182518,,1,0,1.278753601,1.176091259,1.401400541,1,0.875061263,1.113943352,0.278753601,0.204119983,1,0.977723605,0.612783857,0.462397998,,,,0
28,Calyptrogyne,anomala,,de Nevers,7006,ny,panama,9.2,9.33,79.08,-79.13,450,0.1,,77,46.5,4.7,1,0,,,,9,11,35.5,9,12.7,14.5,1.6,,2,8,2.6,1.5,1.5,3,0,,,14,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,,,,,feb,,,,0,0,0,0,,-1,,1.886490725,1.667452953,0.672097858,1,,0.954242509,1.041392685,1.550228353,0.954242509,1.103803721,1.161368002,0.204119983,,1.414213562,0.903089987,0.414973348,0.477121255,,,,
27,Calyptrogyne,anomala,,Henderson,713,ny,panama,9.2,9.33,78.55,-78.92,160,,,,69.5,7.4,4,1,2,2.2,0.2,38,25,39.5,57.5,,22,3.5,4.7,4,9.6,3.9,1.7,1.8,3,2,6,12.2,,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,14.5,1,,,,,dec,,0,0,0,1,,,,,1.841984805,0.86923172,2,0,1.579783597,1.397940009,1.596597096,1.759667845,,1.342422681,0.544068044,0.672097858,2,0.982271233,0.591064607,0.477121255,0.77815125,1.086359831,1.161368002,0
