Herbariu,Genus,Species,Collecto,Number,Country,Latitude,Longitud,Elevatio,Stemheig,Stemdiam,Stemclus,Stemclus,Pinclust,Pinnaecl,Lenmidpi,Widmidpi,Lfratio,Anglepin,Noveins,Inflobra,Nobracts,Lenpedun,Lenrachi,Widrachi,Ratiorac,Norachil,Lenbasra,Lenmidra,Lenapira,Nostamfl,Nostamen,Lenfruit,Widfruit,Ratiofru,Endosper,Norumina,Deprumin,Orders,Numracllae
mo,Synechanthus,warscewiczianus,Dodson,9756,Ecuador,-0.3,79.25,185,,0.03,clu,2,reg,1,,,,47,,1,,,0.195,,,,0.415,0.35,,6,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Duke,5259,Panama,7.57,77.53,,,,,,reg,1,0.358,0.025,0.069832402,54,5,1,7,0.355,0.08,2.7,33.75,,0.287,0.223,0.239,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Duke,6548,Panama,7.58,77.45,533,3.3,0.025,,,reg,1,,0.025,,49,5,1,,,0.147,2.6,17.68707483,37,0.147,0.182,0.145,7,,0.0126,0.0063,0.5,rum,6,1.5,,
mo,Synechanthus,warscewiczianus,Duke,8024,Panama,9.14,79.25,,,,,,,1,,,,28,,1,7,0.447,0.044,3.5,79.54545455,11,,0.15,,8,,,,,,,,,
mo,Synechanthus,warscewiczianus,Dwyer,9397,Panama,9.2,79.45,,,0.025,,,reg,1,,,,,,1,7,0.363,0.125,,,59,,,,7,,,,,rum,,,,
mo,Synechanthus,warscewiczianus,Ebinger,207,Panama,9.1,79.52,30,,0.025,,,reg,1,,,,43,,1,,,,,,,,0.17,,,,0.0148,0.0048,0.324324324,rum,7,1.5,,
ny,Synechanthus,warscewiczianus,Ferreira,600,Panama,8.4,79.55,797,0.085,0.019,clu,2,reg,1,0.148,0.011,0.074324324,60,3,1,7,0.264,0.011,2,181.8181818,3,0.12,,0.095,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,1876,Panama,8.35,80.35,900,,,,,reg,1,0.292,0.011,0.037671233,36,5,1,,,0.258,3.7,14.34108527,106,0.185,0.15,0.06,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,2507,Panama,9.15,79.3,,,,,,reg,1,0.32,0.018,0.05625,25,5,1,,,0.095,4.7,49.47368421,25,0.235,0.227,0.17,7,,,,,rum,,,,
mo,Synechanthus,warscewiczianus,Folsom,3354,Panama,8.35,81.15,1200,,,,,reg,1,0.325,0.02,0.061538462,31,5,1,,,0.188,3.6,19.14893617,43,0.197,0.237,0.177,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,5502,Panama,8.45,82.17,1300,2.5,,,,reg,1,0.241,0.014,0.058091286,47,3,1,,,0.133,2.3,17.29323308,74,0.192,0.189,0.103,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,5713,Panama,8.4,80.35,775,1,,,,reg,1,0.325,0.02,0.061538462,40,3,1,7,0.42,0.094,2,21.27659574,44,0.16,0.14,0.085,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,5755,Panama,9.2,78.58,,2,,,,reg,1,0.357,0.074,0.207282913,37,12,1,,,0.105,4.7,44.76190476,47,0.231,0.203,0.155,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,6156,Panama,9.25,78.55,,4,,,,reg,1,0.311,0.041,0.131832797,34,6,1,7,0.273,0.106,4.4,41.50943396,27,0.255,0.243,0.193,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,6220,Panama,8.3,80.4,750,,,,,reg,1,0.346,0.022,0.063583815,51,5,1,,,0.104,3.4,32.69230769,28,0.248,0.217,0.14,6,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Folsom,6630,Panama,,,550,,,,,reg,1,,0.021,,52,5,1,8,0.673,0.157,3.8,24.20382166,28,0.39,0.363,0.188,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Gentry,10132,Ecuador,-0.3,79.25,200,2,,,,reg,1,,0.041,,38,4,1,,,0.19,,,,0.263,0.338,0.245,6,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Gentry,3522,Panama,9.17,79.35,,,,,,reg,1,0.245,0.018,0.073469388,32,5,1,,,0.035,2.5,71.42857143,10,0.152,0.14,0.14,6,,,,,rum,,,,
mo,Synechanthus,warscewiczianus,Gentry,3659,Panama,8.39,80.04,833,,,,,reg,1,0.178,0.019,0.106741573,51,3,1,7,0.45,0.14,2.3,16.42857143,55,0.128,0.09,0.065,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Gentry,6582,Panama,9.2,79.45,400,,,,,reg,1,,,,50,,1,,,0.222,3.6,16.21621622,68,0.21,0.195,0.13,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Gentry,7038,Panama,7.5,77.4,1200,,,,,reg,1,0.445,,,24,,1,,,0.252,4.8,19.04761905,64,0.175,0.243,0.205,8,,0.014,0.0059,0.421428571,rum,9,1.5,,
mo,Synechanthus,warscewiczianus,Gomez,19508,Costa Rica,8.35,83.4,100,2.5,,,,reg,1,0.461,0.037,0.080260304,39,5,,,,,,,,,,,,,0.01,0.0079,0.79,,,,,
mo,Synechanthus,warscewiczianus,Gomez,23327,Costa Rica,,,900,3,,,,reg,1,,0.027,,34,3,1,7,0.507,0.2,2.2,11,,,0.18,,7,,0.0143,0.0072,0.503496503,rum,7,2.2,,
mo,Synechanthus,warscewiczianus,Gordon,17,Panama,,,,,,,,reg,1,,,,31,,1,6,0.452,0.136,5.4,39.70588235,60,0.218,0.169,0.1,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Gordon,57,Panama,,,,,,,,,1,,,,,,1,7,0.335,0.102,3.2,31.37254902,59,0.243,0.219,0.155,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Grayum,3990,Costa Rica,8.42,83.31,300,,,,,reg,1,0.433,0.039,0.090069284,44,6,1,7,0.779,0.223,4.9,21.97309417,37,0.46,0.395,0.305,12,,,,,,,,,
mo,Synechanthus,warscewiczianus,Grayum,5052,Costa Rica,10.17,84.02,600,1.5,,,,reg,1,0.34,0.014,0.041176471,44,5,1,8,0.311,0.052,1.8,34.61538462,28,0.12,0.112,0.1,7,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Grayum,6348,Costa Rica,10.1,84.29,1165,,,,,reg,1,0.415,0.029,0.069879518,43,5,1,9,0.47,0.175,3.8,21.71428571,60,0.224,0.215,0.065,8,,0.0147,0.0088,0.598639456,rum,,,,
mo,Synechanthus,warscewiczianus,Grayum,9878,Panama,8.41,79.56,870,,,sol,1,reg,1,0.228,0.021,0.092105263,66,5,1,7,0.264,0.025,1.9,76,4,0.123,0.103,0.13,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Haber,5072,Costa Rica,10.2,84.5,1450,,,,,reg,1,0.437,0.07,0.160183066,51,11,1,8,0.38,0.163,3.3,20.24539877,41,0.21,0.16,0.103,8,3,,,,rum,,,,
mo,Synechanthus,warscewiczianus,Haber,5873,Costa Rica,10.22,84.52,1400,,,,,,1,,,,,,1,7,0.508,0.194,4,20.6185567,36,0.311,,,7,,0.0187,0.013,0.695187166,rum,7,2,,
mo,Synechanthus,warscewiczianus,Hamilton,1274,Panama,8.32,81.07,1200,1.8,,,,reg,1,0.366,0.03,0.081967213,51,5,1,7,0.51,0.111,3.6,32.43243243,34,0.33,0.285,,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hamilton,2994,Panama,8.35,81.05,900,2,,,,reg,1,0.202,0.015,0.074257426,,3,1,7,0.395,0.128,2.3,17.96875,31,0.24,0.21,0.146,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hamilton,3248,Panama,9.15,79.45,50,,,,,reg,1,0.43,0.025,0.058139535,51,5,1,,,0.133,2.6,19.54887218,40,,,,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hamilton,3975,Panama,8.35,81.05,1250,,,,,,1,,,,48,,1,,,0.157,4,25.47770701,41,0.261,0.234,0.19,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hamilton,4163,Panama,8.4,80.35,1200,,,,,reg,1,0.38,0.021,0.055263158,36,5,1,,,,4.1,,,,0.27,,6,3,,,,,,,,
