Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,subtilis,,subtilis,BH,D. Hodel,1799,Thailand,13.41,13.68,102.3,102.5,250,pistillate,,,42,2.4,7,23.5,3.5,2.7,23,3,1.5,12.8,8,0.8,,,1,1,0,1,1,1,0,0,,,,,,
Rhapis,subtilis,,subtilis,A,D. Middleton,2205,Thailand,12.32,12.53,99.37,99.61,400,staminate,,0.63,17.5,1.3,4,16.3,2.5,0.5,15.8,1,0.5,4.5,9.7,1,,,1,1,0,0,1,1,,0,1,,1,0,,
Rhapis,subtilis,,subtilis,K,A. Marcan,2634,Thailand,12.22,12.38,99.54,99.91,,pistillate,,,29,1.7,8,20.5,1.5,1.1,19,1,0.7,,6,1.1,,,,,0,1,1,1,,0,,1,,,,
Rhapis,subtilis,,subtilis,K,A. Kerr,8148,Thailand,14.42,14.716,102.07,102.116,200,pistillate,,0.42,27.7,2.3,9,18,1.3,2,,1,1.3,,,,,,1,1,0,1,1,1,,0,,,,,1,white
Rhapis,subtilis,,subtilis,K,T. Smitinand,8519,Thailand,12.25,12.41,99.59,99.98,50,pistillate,,,31.5,2,8,19,3.4,1.8,17.7,1.5,1.5,6,11.5,1.5,6,6.3,,,0,1,1,1,,0,,,,,1,white
Rhapis,subtilis,,subtilis,K,A. Kerr,10896,Thailand,12.12,12.2,99.52,99.88,,pistillate,,0.45,32,1.9,4,18,3.6,0.8,16.3,1,0.6,2,6.5,1.2,,,1,1,0,0,1,1,,0,,,,,,
Rhapis,subtilis,,subtilis,NY,A. Barfod,45191,Thailand,12.48,12.8,99.33,99.55,175,pistillate,,0.82,25.5,2.1,,,,,,,,4,8.5,1.3,,,1,1,0,,1,1,,0,,,,,,
Rhapis,subtilis,,subtilis,K,A. Barfod,45205,Thailand,12.47,12.78,99.27,99.45,175,pistillate,,,16,1.6,5,18.3,2.4,0.4,18,2.7,0.4,,8,1.1,,,1,1,0,0,1,1,,0,,,,,,
Rhapis,subtilis,,subtilis,AAU,K. Larsen,45456,Thailand,12.48,12.8,99.24,99.4,500,pistillate,,,24,1.9,6,19.4,3.3,0.5,18.5,2.4,0.5,,,,,,1,,0,0,1,1,,,,,,,,
Rhapis,subtilis,,subtilis,BKF,G. Murata,52533,Thailand,14.19,14.31,100.36,100.6,30,sterile,,,24.7,2.1,6,20.5,2.9,1.5,19.5,1.4,,,,,,,,,0,1,1,1,,,,,,,,
Rhapis,subtilis,,subtilis,K,Parnell,95498,Thailand,12.48,12.8,99.32,99.53,300,staminate,,0.69,23,1.9,5,22.7,3.2,1.1,21,1.6,1.2,,,,,,1,1,0,1,1,1,,0,,,,,,
Rhapis,vidalii,,vidalii,MO,N. T. Hiep,929,Vietnam,20.27,20.45,105.11,105.18,525,staminate,0.9,0.25,11.5,1.1,5,19,0.8,0.2,18.2,0.4,0.2,6.7,3,0.3,,,2,1,2,0,1,1,1,0,0,0,0,1,,
Rhapis,vidalii,,vidalii,MO,L. Averyanov,3075,Vietnam,20.26,20.43,105.14,105.23,750,sterile,,0.3,26.5,1.2,5,22,1.2,0.7,20.5,1.4,0.4,,,,,,2,1,2,0,1,1,,,,,,,,
Rhapis,vidalii,,vidalii,NY,A. Henderson,3479,Vietnam,20.38,20.63,105.04,105.06,800,sterile,1,,26,0.8,9,15.2,0.5,0.3,15,0.5,0.3,,,,,,2,1,2,0,1,1,,,,,,,,
Rhapis,vidalii,,vidalii,HN,L. Averyanov,3559,Vietnam,20.31,20.51,105.05,105.08,400,sterile,1.25,,11,1.2,8,14.2,0.4,0.2,14.2,0.5,0.4,,,,,,2,1,2,0,1,1,,,,,,,,
Rhapis,vidalii,,vidalii,MO,L. Averyanov,3899,Vietnam,20.32,20.53,105.04,105.06,759,pistillate,,0.34,12,0.8,8,15.5,0.5,0.3,14.2,0.4,0.3,2,,0.3,9.3,7,2,1,2,0,1,1,1,0,0,0,,,0,
Rhapis,vidalii,,vidalii,HN,Phuong,5940,Vietnam,20.27,20.45,105.11,105.18,,pistillate,,0.32,17,1.1,7,15,0.5,0.3,13,0.5,0.3,,,,8.9,7.7,2,1,2,0,1,1,1,0,0,0,,,,
