Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
220,Attalea,maripa,,M. maripa,NY,Jenman,527,Guyana,5.36,5.6,57.15,-57.25,,,,,,,,,,,,,,18,,12.4,6,,,,,,,,,,,,,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
221,Attalea,maripa,,M. maripa,NY,Steyermark,88912,Venezuela,7.37,7.61,61.29,-61.48,,15,,,,,,,,,,,,12,,11.1,6,,,,,,,,,,3,,2,2,,,,6,8,2,2,2,1,1,1,,1,2,,,,,,,,,,,,
222,Attalea,maripa,,M. maripa,NY,Groger,422,Venezuela,5.01,5.02,67.46,-67.76,,15,,,,,175,,,,,,,,,6.5,6,,,39.1,18.5,,,,,,,,2,,,1,1,6,8,2,2,2,1,1,1,,1,2,,2,2,,,,,,,,,
223,Attalea,maripa,,M. maripa,NY,Rusby,413,Venezuela,,,,,,,,,,,,,,,,,,13.5,,8.6,6,,,,,,,,,,,,2,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
224,Attalea,maripa,,M. maripa,NY,Diaz,747,Venezuela,6.19,6.31,63.31,-63.51,270,18,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,2,1,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
225,Attalea,maripa,,M. maripa,NY,Omawale,220,Guyana,6.26,6.43,58.34,-58.56,,16,,,,,400,,,,,247,,,,,,14,,,,,,,1,,3,,2,,,,,,,,,,,,,,1,2,,,,,,,,,,,,brown
226,Attalea,maripa,,M. maripa,NY,Buscalioni,1124,Brazil,2.35,-2.58,49.07,-49.11,,,,,,,,,,,,,,15,,7.8,6,14.5,,50.7,22.7,,,,,,3,,2,,1,1,1,6,8,2,2,2,1,1,1,,1,2,,2,2,,,,,,,,,
227,Attalea,maripa,,M. maripa,NY,Britton,494,Trinidad,10.42,10.7,61.39,-61.65,,,,,,,,,,,,,,10.3,,10.3,6,,,,,,,,,,3,,2,,,1,1,6,8,2,2,2,1,1,1,,1,2,,,,,,,,,2,,,
228,Attalea,maripa,,M. maripa,NY,Cabrera,2005,Colombia,4.39,4.65,70.39,-70.65,,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
229,Attalea,maripa,,M. maripa,NY,Balslev,60592,Ecuador,0.32,0.53,76.23,-76.38,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,2,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
230,Attalea,maripa,,M. maripa,NY,Guillen,1810,Bolivia,14.42,-14.7,61.09,-61.15,160,18,,,,,198.5,,74,,,,,15,,6,6,,,,,,1,,1,,3,,2,,1,1,1,6,8,2,2,2,1,1,1,,,2,,,,,,,,,,,,
231,Attalea,maripa,,M. maripa,NY,Ferreira,89,Brazil,10.33,-10.55,68.15,-68.25,,20,14.3,29.5,20,,,640,225,160,3.8,,,,,,,,,,,,1,,1,,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Attalea,maripa,,M. maripa,NY,Scariot,171,Brazil,12.2,-12.33,60.3,-60.5,,,,22,22,,,,221,,4.7,119,,15,,7.7,6,,,,,,,,,,3,3,2,2,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
233,Attalea,maripa,,M. maripa,NY,Beck,396,Brazil,0.45,-0.75,49.41,-49.48,,,20,20,18,,,,258,,,,,17,,11.1,6,,,,,,1,,,,,,,2,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
