Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
530,Attalea,barreirensis,,A. barreirensis,BH,Glassman,13047,Brazil,12.05,-12.08,45,-45,,,,,,,,,,,,,,4,,,,,,,,,2,,,,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
739,Attalea,barreirensis,,A. barreirensis,F,Noblick,4666,Brazil,12.07,-12.11,46,-46,,,,,5,,36,115,67,,,,6,4.75,41,12,,,18,42.9,33.6,1,2,,2,,2,,2,,1,1,2,1,1,2,2,2,1,3,1,1,,,,2,2,,,,,,,,,
741,Attalea,barreirensis,,A. barreirensis,F,Noblick,4529,Brazil,12.07,-12.11,45.02,-45.03,700,,,,5,,17,173,104,,,,14,,,11.5,,,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Attalea,barreirensis,,A. barreirensis,F,Noblick,4668,Brazil,12.08,-12.13,45,-45,740,,,,6,,19,,76,,,32,13,,,,,0.5,24,46.1,30.6,,2,,2,,2,,2,2,1,,,,,,,,,,,1,,,,2,2,,,,,,,,,
,Attalea,barreirensis,,A. barreirensis,INPA,Scariot,475,Brazil,11.02,-11.04,45.11,-45.19,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,barreirensis,,A. barreirensis,INPA,Scariot,740,Brazil,11.36,-11.61,46.27,-46.46,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,barreirensis,,A. barreirensis,INPA,Xavier,190,Brazil,12.04,-12.08,45.45,-45.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Attalea,barreirensis?,,,F,Capucho,525,Brazil,3.39,-3.65,55.3,-55.5,,,,,,,,,,,,,,,,,,,,60.3,43.3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,2,,1,,2,
282,Attalea,barreirensis?,,,NY,Lobo,109,Brazil,2.38,-2.63,54.55,-54.91,,,,,,,,,55,45.5,2.8,,,5.5,,,,,,57.7,38.7,1,2,,,,1,1,2,2,1,,2,1,,,,,,,,,,1,,2,2,1,2,2,2,,1,1,2,
296,Attalea,barreirensis?,,,NY,Almeida,1201,Brazil,1.42,-1.7,51.31,-51.57,,,,,,,50,300,,78,3.5,,,5.5,,13.1,6,,,56.9,37.3,1,2,,2,,2,,2,1,1,1,2,1,1,2,2,2,1,3,1,1,1,1,1,2,2,1,2,2,2,,1,1,,
299,Attalea,barreirensis?,,,NY,Pardini,70,Brazil,2.31,-2.51,54.57,-54.95,,,,,8,,,442,83,88.5,3.3,,,,,,,,,52.1,37.6,1,2,,,,1,1,2,2,,,,,,,,,,,,,1,1,1,2,2,1,2,2,2,,1,1,2,yellow-gray
131,Attalea,barreirensis?,,,NY,Noblick,4960,Brazil,7.3,-7.5,44.4,-44.66,750,,,,6,,27,142,74,37.5,2.6,,,,,11,,,,58.3,42.4,2,2,,2,,2,3,2,2,,,,,1,2,2,2,,3,1,,,1,,2,2,1,2,,1,2,1,1,2,light gray
402,Attalea,barreirensis?,,,NY,Pereira-Silva,3432,Brazil,7.32,-7.53,46.02,-46.03,,,,,,,,,,22,2.5,,,,,,,,,,,,,,2,,2,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,
469,Attalea,barreirensis?,,,K,Noblick,4961,Brazil,7.27,-7.45,44.42,-44.7,500,,,,4,,32,139,85,31.5,3.2,,,,47,,,,,55.4,40.8,,2,,2,,2,,2,2,1,,,,,,,,,,,,,,,2,2,,,,,,,,,light brown
47,Attalea,butyracea,,S. butyracea,NY,Henderson,864,Brazil,4.3,-4.5,71.45,-71.75,150,,20,45,15,,,700,180,,5.3,,,33,,13,6,,,,,,1,,,,1,,1,2,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
48,Attalea,butyracea,,S. butyracea,NY,Blicher,5,Peru,3.58,-3.96,73.18,-73.3,,,2,,16,250,0,830,187,,5.2,272,150,30,,,6,,,64.9,28.3,1,1,,1,,1,,1,,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,,,,,,
56,Attalea,butyracea,,S. butyracea,NY,Croat,17992,Peru,5.54,-5.9,76.05,-76.08,,10,2.5,,,,,,,,,,,23.5,,11.1,6,,,,,,,,,,,,,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,pale purple
67,Attalea,butyracea,,S. butyracea,NY,Gentry,52246,Peru,6.01,-6.01,75.55,-75.91,180,,,,,,,,,,,,,,,,,,,59,36.6,,1,,,,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,
112,Attalea,butyracea,,S. butyracea,NY,Henderson,2205,Peru,4.07,-4.12,73.27,-73.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Attalea,butyracea,,S. butyracea,NY,Henderson,1644,Peru,12.36,-12.6,69.12,-69.2,,,,,,,,,,,,,,,,,,,,62.1,43.8,2,1,,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
127,Attalea,butyracea,,S. butyracea,NY,Trujillo,19069,Venezuela,7.18,7.3,71.53,-71.88,200,,,,,,,,,,,,,26,,,,12,,62.6,24,,,,,,,,,,,1,1,6,,,,,,,,,1,2,,2,2,,,,,,,,,
330,Attalea,butyracea,,S. butyracea,NY,Choo,427,Peru,3.41,-3.68,72.18,-72.3,,30,,,16,,,,141,,,,,,,16.1,6,,,,,,1,,,,,3,,,,,,,2,2,2,2,1,2,1,,,,,,,,,,,,,,,brown
636,Attalea,butyracea,,S. butyracea,MO,Rudas,3640,Colombia,3.42,-3.7,70.15,-70.25,120,14,,39.2,,,,,,,,,,50,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Attalea,butyracea,,S. butyracea,MO,Gudino,1358,Ecuador,,,,,,20,,30,,,,,89,,,,,29,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Attalea,butyracea,,S. butyracea,MO,Pipoly,15913,Colombia,3.47,-3.78,70.15,-70.25,210,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Attalea,butyracea,,S. bassleriana,NY,Balslev,60748,Ecuador,0.32,-0.53,76.23,-76.38,300,,9,38,15,200,,900,166,122.5,5.6,320,130,20.5,135,12.4,6,,,,,,1,,,,1,3,1,2,1,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
65,Attalea,butyracea,,S. bassleriana,NY,Balslev,4339,Ecuador,0.05,-0.08,76.11,-76.18,230,,11,45,15,,0,,173,,5.6,200,100,22.5,220,11.8,6,,,,,,1,,1,,,3,1,2,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
66,Attalea,butyracea,,S. bassleriana,NY,Skov,64789,Ecuador,0.32,-0.53,76.23,-76.38,300,,15,41,18,230,,1034,181,126,4.1,,80,,,,,,300,100.06,47.3,3,1,,1,,1,1,1,,,,,6,,,,,,,,,1,2,,2,2,,,,,,,,,
69,Attalea,butyracea,,S. bassleriana,NY,Fleck,754,Peru,5.17,-5.28,73.09,-73.15,150,,17.23,37,24,,,,,,5.7,,,29.5,,16.4,6,,,,,,1,,,,,,1,2,,1,1,6,2,2,2,2,1,2,1,,1,2,,,,,,,,,,,,
,Attalea,butyracea,,S. bassleriana,F,Graham,476,Peru,8.21,-8.35,74.34,-74.56,200,22.5,,,,,,700,270,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Attalea,butyracea,,S. bassleriana,NY,Tessmann,5490,Peru,5.31,-5.51,74.22,-74.36,,,,,,,,,,,,,,,,10.8,6,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
73,Attalea,butyracea,,S. bassleriana,NY,Tessmann,5237,Peru,3.45,-3.75,73.15,-73.25,,,,,,,,,,,,,,,,14.9,6,12.5,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,,1,2,,,,,,,,,,,,
78,Attalea,butyracea,,S. bassleriana,NY,Mori,14676,Ecuador,0.3,-0.5,76.23,-76.38,,,10,40,,,,,,,,,,,,,,,,95.1,64.1,,1,,,,1,,,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
79,Attalea,butyracea,,S. bassleriana,NY,Lewis,13212,Peru,2.59,-2.83,76.55,-76.91,,12.5,,,,,,,,,,,,,,,,,,107.6,66.9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
81,Attalea,butyracea,,S. bassleriana,NY,SEF,10002,Ecuador,0.31,-0.51,76.24,-76.4,250,,,43.6,,,,,,,,,,,,,,,,101.9,50.8,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,,,,,
82,Attalea,butyracea,,S. bassleriana,NY,Mori,14679,Ecuador,0.3,-0.5,76.23,-76.38,,,,,,,,,,,,,,,,,,,,102.1,67,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
180,Attalea,butyracea,,S. bassleriana,NY,Fleck,816,Peru,5.1,-5.16,72.52,-72.86,,,13.5,33,12,,,,,134,4.2,,,20.5,,,,13,,95.2,54.5,3,1,,,,,,1,2,1,1,1,6,,,,,,,,,1,2,,2,2,,,,,,,,,
671,Attalea,butyracea,,S. bassleriana,MO,Palacios,8011,Ecuador,0.27,-0.45,75.3,-75.5,230,20,,45,,100,,,,,,,,22,,,,,,115.5,61.8,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
29,Attalea,butyracea,,S. butyracea,NY,Bernal,1404,Colombia,1.06,1.1,75.24,-75.4,350,,3,50,28,150,0,900,200,,,,,28,,,,,,,,,1,,1,,1,3,,,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,
37,Attalea,butyracea,,S. butyracea,NY,Silverstone-,5028,Colombia,4.23,4.38,76.03,-76.05,950,15,,59,,,,,,,,,,26,,,,25,,,,,1,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
44,Attalea,butyracea,,S. butyracea,NY,Bernal,2081,Colombia,0.1,-0.16,74.5,-74.83,240,,4.5,45,20,100,0,669,170,,5.5,280,150,20,50,15.2,6,,,83.8,41.3,,1,,1,,1,3,1,2,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,,,,,,brownish-orangeish-yello
51,Attalea,butyracea,,S. butyracea,NY,Wessels Boer,1912,Venezuela,5.1,5.16,67.5,-67.83,,,4,30,25,150,0,900,,,5.2,,,42.5,230,12,6,19,210,49.3,28,2,1,2,1,2,1,3,1,,,1,1,6,2,2,2,2,1,2,1,,,,,2,2,,,,,,,,,
55,Attalea,butyracea,,S. butyracea,NY,Galeano,2068,Colombia,1.17,-1.28,69.43,-69.71,230,,16,30,30,317,,1011,202,138,7.6,250,170,53,214,17.4,6,,,64.1,28.6,1,1,,,,1,,1,,1,1,1,6,2,2,2,2,1,2,1,,,,,2,2,1,2,1,1,2,2,1,2,orange-brown
422,Attalea,butyracea,,S. butyracea,COAH,Forero,30,Colombia,3.46,-3.76,70.21,-70.35,,15,,19,30,,,950,173,,,,,,,,,22,164,,,,1,,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,orange-red
423,Attalea,butyracea,,S. butyracea,COAH,Lopez,2991,Colombia,0.39,0.65,76.38,-76.63,380,15,6,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,brown
476,Attalea,butyracea,,S. butyracea,COL,Bernal,3606,Colombia,1,1,69.55,-69.91,175,,15,35,,,0,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Attalea,butyracea,,S. butyracea,COL,Bernal,4549,Colombia,3.36,3.6,69.34,-69.56,132,,12,26,23,,,720,163,,,188,138,41,238,16.4,,,,,,,1,,,,1,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,
480,Attalea,butyracea,,S. butyracea,COL,Bernal,4513,Colombia,3.37,3.61,69.01,-69.02,121,,,,,,,,,,,,,,,,,,,55.8,27.3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
485,Attalea,butyracea,,S. butyracea,COL,Bernal,2938,Colombia,3.49,3.81,70.15,-70.25,120,,20,45,25,180,0,1110,241,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Attalea,butyracea,,S. butyracea,US,Duque,4588,Colombia,4.2,4.33,75.5,-75.83,,,,,,,,,,,3.8,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Attalea,butyracea,,S. butyracea,NY,Henderson,1648,Brazil,8,-8,73.15,-73.25,,,2,30,,,,,,,,,,21.5,,,,,,79.8,47.1,3,1,,1,,1,3,1,,,,1,6,,,,,,,,,1,2,,2,2,,,,,,,,,
50,Attalea,butyracea,,S. butyracea,NY,Jangoux,85042,Brazil,7.43,-7.71,72.38,-72.63,,,13,,,150,0,700,182,,6.2,,,,,,,,,,,,1,,1,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Attalea,butyracea,,S. butyracea,NY,Pardini,36,Brazil,6.28,-6.46,68.46,-68.76,,,3.8,,20,178,20,947,273,,4.8,,,,,,,,,,,,1,,,,1,,1,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,yellow
566,Attalea,butyracea,,S. butyracea,BH,Krukoff,1615,Brazil,,,,,,,,,,,,,,,,,,,,,,,,60.3,39.7,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
785,Attalea,butyracea,,S. liebmannii,F,Calzada,6062,Mexico,17.54,17.9,94.06,-94.1,20,10,,,,,,,,,,,,,,,,,,43.2,23.9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
52,Attalea,butyracea,,S. liebmannii,NY,Nee,29621,Mexico,18.57,18.95,96.08,-96.13,25,,,,22,,,,212,,4.5,,,26.5,,12.3,6,11,,48.4,24.5,,1,,,,2,,1,,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,,,,,,yellow
565,Attalea,butyracea,,S. liebmannii,BH,Moore,8056,Mexico,17.49,17.81,95.13,-95.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Attalea,butyracea,,S. liebmannii,BH,Moore,6229,Mexico,18.36,18.6,95.39,-95.65,140,,,,,,,,190,,,,,,,12,,,,47.1,27.2,,,,,,2,,,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,orange
658,Attalea,butyracea,,S. liebmannii,MO,Williams,9636,Mexico,17.16,17.28,95.01,-95.02,,,,,,,,,,,,,,,,,,,,43,26.2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
495,Attalea,butyracea,,S. lundellii,K,Lundell,3752,Guatemala,16.47,16.78,90.07,-90.11,,,,,,,,,,,,,,26,,14.7,6,,,,,,,,,,,,,,,1,1,,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
590,Attalea,butyracea,,S. lundellii,BH,Moore,8200,Guatemala,13.55,13.92,90.49,-90.82,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Attalea,butyracea,,S. lundellii,MO,Steyermark,45718,Guatemala,15.42,15.7,90.21,-90.35,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Attalea,butyracea,,S. lundellii,F,Standley,87258,Guatemala,14.26,14.43,91.42,-91.7,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Attalea,butyracea,,S. macrocarpa,NY,Wessels Boer,2105,Venezuela,8.05,8.08,61.5,-61.83,75,,7,53,25,150,0,750,210,,,,,,,,,,,76.1,40.2,2,1,,1,,,,,,,,,,,,,,,,,,1,2,,2,2,,,,1,2,,,,
45,Attalea,butyracea,,S. macrocarpa,NY,Wessels Boer,2106,Venezuela,9.5,9.83,68.25,-68.41,500,,6,38,20,150,0,550,182,,4.6,,,28,164,11.8,6,18,204,,,,1,,1,,2,,1,2,1,1,1,6,2,2,2,2,1,2,1,1,1,2,,,,,,,,,,,,
686,Attalea,butyracea,,S. macrocarpa,MO,Steyermark,116494,Venezuela,10.09,10.15,65.48,-65.8,19,,8,20,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Attalea,butyracea,S. macrolepi,S. macrolepis,NY,Steyermark,131313,Venezuela,7.12,7.2,66.27,-66.45,80,,4,40,,,,,,,,,,,,,,3.5,,,,2,1,,,,2,,1,,,,,,,,,,,,,,1,2,,,,,,,1,2,,,,
389,Attalea,butyracea,S. macrolepi,S. macrolepis,NY,Zent,78508,Venezuela,5.35,5.58,66.5,-66.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
611,Attalea,butyracea,S. macrolepi,S. macrolepis,US,Smith,6038,Venezuela,7.5,7.83,65.46,-65.76,,5,,,,,,,,,2,,,,,,,7,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Attalea,butyracea,S. macrolepi,S. macrolepis,US,Williams,13315,Venezuela,7.4,7.67,65.57,-65.95,100,6,,,,,,,,,,,,12,,,,,,42.7,22.5,2,1,,,,2,,,,,,,,,,,,,,,1,1,2,,2,2,,,,,,,,,
25,Attalea,butyracea,,S. magdalenica,NY,Bernal,397,Colombia,8.17,8.28,76.22,-76.36,190,,3,75,40,120,0,790,230,,,,,26.5,,18,6,37.5,,68.8,32.5,,1,,1,,1,,,,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,,,,,,
74,Attalea,butyracea,,S. magdalenica,NY,Smith,2639,Colombia,11.09,11.15,74.07,-74.11,,,,,,,,,,,,,,11.5,,8.4,6,,,,,,1,,,,,,,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
128,Attalea,butyracea,,S. magdalenica,NY,Grant,10707,Colombia,10.28,10.46,74.37,-74.62,50,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Attalea,butyracea,,S. magdalenica,COL,Mejia,4,Colombia,8.15,8.25,73.28,-73.46,90,,3,60,,,,,190,,,,,,93,,,28.5,86,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Attalea,butyracea,,S. magdalenica,COL,Mejia,7,Colombia,10.03,10.05,73.55,-73.91,115,,3.3,47,12,131,,,,,,,,15,154,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Attalea,butyracea,,S. magdalenica,COL,Mejia,26,Colombia,8.43,8.71,76.35,-76.58,15,,3.7,53,,131,,,206,,,,,20,126,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown
473,Attalea,butyracea,,S. magdalenica,COL,Mejia,19,Colombia,9.15,9.25,73.51,-73.85,45,,2,,15,87,,,181,,,178,,17,91,14.2,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Attalea,butyracea,,S. magdalenica,COL,Bernal,4365,Colombia,6.29,6.48,74.11,-74.18,128,,2.5,43,15,,,664,193,,,,,24.5,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Attalea,butyracea,,S. magdalenica,COL,Bernal,4357,Colombia,6.16,6.26,74.06,-74.1,160,,6,50,30,,,600,90,,,217,138,25,250,,,,,,,,1,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
477,Attalea,butyracea,,S. magdalenica,COL,Bernal,3448,Colombia,5.14,5.23,74.37,-74.61,320,,4.5,63,25,100,0,775,208,,,,,15,,8.8,,16.5,,47.1,26.3,,1,,1,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
478,Attalea,butyracea,,S. magdalenica,COL,Duque,48,Colombia,5.11,5.18,74.49,-74.81,420,,3.2,66,35,160,,,190,,,190,,18,195,,,24,172,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Attalea,butyracea,,S. magdalenica,NY,Galeano,1273,Colombia,8.36,8.6,73.38,-73.63,300,,3,,30,100,,693,207,,,116,,18,,13.2,6,,,58.9,30,,1,,,,1,,,2,,,,,2,2,2,2,1,2,1,,1,2,,2,2,,,,,,,,,yellow
482,Attalea,butyracea,,S. magdalenica,COL,Galeano,1253,Colombia,10.16,10.26,73.21,-73.35,150,,15,60,32,,,,,,,,,39,,,,,,44,26.4,,1,,,,2,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,brown
483,Attalea,butyracea,,S. magdalenica,COL,Galeano,1247,Colombia,6.5,6.83,73.52,-73.86,200,,3,,20,,,815,187,,,,,28.5,,10,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Attalea,butyracea,,S. magdalenica,K,Plowman,3587,Colombia,11.14,11.23,74.07,-74.11,180,12,,,,,,,,,4.2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Attalea,butyracea,,S. magdalenica,K,Bernal,508,Colombia,9.23,9.38,74.12,-74.2,90,,10,50,30,,,,,,,170,,17,95,13.7,,,,,,,1,,,,1,,1,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,yellow
512,Attalea,butyracea,,S. magdalenica,K,Plowman,3710,Colombia,10.1,10.16,73.34,-73.56,,10,,,,,,,,,,,,,,,,,,56.2,31.8,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,yellowish
600,Attalea,butyracea,,S. magdalenica,US,Curran,354,Colombia,8.59,8.98,74.22,-74.36,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Attalea,butyracea,,S. maracaibensis,NY,Wessels Boer,2463,Venezuela,9.5,9.83,72.5,-72.83,350,,3,30,20,190,0,810,236,,6,107,180,29,,13.2,6,,,53.3,31.9,1,1,,1,,2,3,,,,1,1,6,2,2,2,2,1,2,1,1,1,2,,2,2,1,2,1,1,2,2,1,2,
30,Attalea,butyracea,,S. maracaibensis,NY,Bunting,10001,Venezuela,10.57,10.95,72.16,-72.26,75,,,,,,,,,,3,,,,,,,22,,62.9,32.6,2,,,,,,3,,,,,,,,,,,,,,,1,2,,2,2,,,,1,2,,,,
31,Attalea,butyracea,,S. maracaibensis,NY,Wessels Boer,2007,Venezuela,9,9,71.55,-71.91,,,12,30,17,200,0,550,225,,3.9,,,,,9.5,6,18,,65.9,41,2,1,,1,,2,3,1,,,,,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,1,2,,,,
38,Attalea,butyracea,,S. maracaibensis,NY,Bunting,10145,Venezuela,10.57,10.95,72.16,-72.26,100,,,70,,,,,,,4,,,,,12.9,6,33,,64.2,31.3,1,1,,,,,,,,,1,1,6,2,2,2,2,1,2,1,,1,2,1,2,2,1,,,1,2,2,,,
39,Attalea,butyracea,,S. maracaibensis,NY,Bunting,9536,Venezuela,10.26,10.43,71.01,-71.01,275,,20,40,,,0,,,,4.9,,,27,,11,6,29.5,,,,,1,,1,,2,3,1,2,,1,1,6,2,2,2,2,1,2,1,,1,2,,,,,,,,,,,,
40,Attalea,butyracea,,S. maracaibensis,NY,Bunting,12715,Venezuela,10.52,10.86,72.29,-72.48,225,,15,55,,,,,,,3.4,,110,,,,,,,53,32.4,2,1,,,,,,,2,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,dull yellow
46,Attalea,butyracea,,S. maracaibensis,NY,Bunting,11265,Venezuela,10.25,10.41,70.49,-70.81,575,15,,30,,,,,,,,,,34,,11.2,6,18,,57.8,32,2,1,,1,,2,,1,2,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,1,2,,,,
53,Attalea,butyracea,,S. maracaibensis,NY,Steyermark,123409,Venezuela,11.01,11.01,72.2,-72.33,500,,10,,,,,,,,,,,27,,11.6,6,,,,,,1,,,,2,,,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
607,Attalea,butyracea,,S. maracaibensis,US,Bunting,6972,Venezuela,8.4,8.66,72.55,-72.58,,12,,,,,,,,,4.3,,,,,,,14.5,,47.2,24.4,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
32,Attalea,butyracea,,S. maracaibensis,NY,Gentry,47517,Colombia,11.1,11.16,73.3,-73.5,300,10,,,,,,,206,,,,,33.5,,,,,,55.4,33.9,1,1,,,,2,,1,,,1,1,6,,,,,,,,,1,2,,2,2,,,,1,2,2,,2,
33,Attalea,butyracea,,S. osmantha,NY,Wessels Boer,1837,Venezuela,10.4,10.66,62.5,-62.83,,,2,,30,,0,,160,,4.3,,,28,,17.4,6,,,,,,1,,1,,1,3,1,,,1,1,6,2,2,2,2,1,2,1,,1,2,,,,,,,,,,,,
41,Attalea,butyracea,,S. osmantha,NY,Wessels Boer,1660,Trinidad,10.08,10.13,61.35,-61.58,,10,,47,15,,,600,179,114,5.5,,,,,,,16,,,,,1,,,,1,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
59,Attalea,butyracea,,S. osmantha,NY,Broadway,4744,Tobago,11.13,11.21,60.42,-60.7,,,,,,,,,,,,,,31,,14,6,,,,,,,,,,,,,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
76,Attalea,butyracea,,S. osmantha,NY,Britton,1092,Trinidad,10.07,10.11,61.25,-61.41,,,,,,,,,,,,,,,,,,,,62,36.1,2,,,,,,,,,,,,,,,,,,,,,1,2,,2,2,,,,1,2,,,,
77,Attalea,butyracea,,S. osmantha,NY,Broadway,696,Venezuela,10.39,10.65,61.56,-61.93,,,,,,,,,,,,,,,,,,,,60.8,32.9,3,,,,,,,,,,,,,,,,,,,,,1,2,,2,2,,,,1,2,,,,
408,Attalea,butyracea,,S. osmantha,NY,Henderson,1625,Trinidad,10.21,10.35,61.27,-61.45,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,
555,Attalea,butyracea,,S. osmantha,BH,Bailey,124,Trinidad,,,,,,,,,,,,,,,,,,,,,,,,55.3,33.3,,,,,,1,,1,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
815,Attalea,butyracea,,S. butyracea,NY,Balick,1363,Bolivia,11.1,-11.16,66.08,-66.13,230,20,,30,20,100,,725,202,,,275,150,,,,,10,,87,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
