NUMBER,Genus,SPECIES$,SUBSPECIES$,HERBARIUM$,COLLECTOR$,COLNUMBER,COUNTRY$,LATITUDE,DLATITUDE,LONGITUDE,DLONGITUDE,ELEVATION,STEMHEIGHT,STEMDIAMETER,LEAFNUMBER,SHEATH,PETIOLE,RACHISLEN,RACHISWID,NODIVISIONS,BASPINLEN,BASPINWID,BASPINANG,APINLEN,APINWID,APINANG,ORDERS,PROPHYLL,PEDBRACT,DISTANCE,PEDUNCLELEN,PEDUNCLEWID,NORACHILLAE,RACHILLLEN,RACHILLWID,FRUITLEN,FRUITDIAM,STEMBRANCH,INFLOBRAN,BRACTS,PROXSHAPE,FRUITS
75,Pholidostachys,amazonensis,,MO,Barbour,4471,Peru,4.56,-4.93,78.11,-78.18,,,,,,,42,3.7,6,,,,,3.5,15,0,,,,,3.2,1,18.7,5.9,,,,4,2,3,
93,Pholidostachys,dactyloides,,BH,Anderson,12,Colombia,3.56,3.93,77.01,-77.01,,3.15,9,8,40,40,137,11.9,,58,2.8,,51,15,,1,,,,25,9.8,4,50,6.2,,,1,3,1,2,
10,Pholidostachys,dactyloides,,NY,Arguëllo,526,Ecuador,0.05,0.08,79.02,-79.03,800,5.3,6,15,37,53,,14.8,17,,2,55,,16.5,11,1,,,6,15.5,19,8,45,8,12,7.2,1,3,,2,3
3,Pholidostachys,dactyloides,,NY,Arguëllo,477,Ecuador,0.05,0.08,79.02,-79.03,800,6.68,7,18,38,40,,17.8,16,,2,59,,14.7,,1,,,,,9.6,,46.5,7.8,,,,3,,2,
70,Pholidostachys,dactyloides,,NY,Arguëllo,424,Ecuador,0.05,0.08,79.02,-79.03,800,2.96,,17,43,66,,18.5,,92,3.5,42,,,,,,,,,,,,,12.3,7,1,,,2,3
203,Pholidostachys,dactyloides,,AAU,Balslev,62520,Ecuador,3.11,-3.18,79.41,-79.68,300,3.9,6.5,12,,,155,9.8,10,56,3,41,36,11.5,18,1,,,,,12,9,30.5,6,13.9,9.1,1,3,,2,3
92,Pholidostachys,dactyloides,,NY,Balslev,60677,Ecuador,0.17,-0.28,79.15,-79.25,300,3.9,10,12,80,40,160,16.4,11,40,1,48,53.5,22,12,1,59,,,,,,,,,,1,,1,2,
9,Pholidostachys,dactyloides,,NY,Balslev,62097,Ecuador,0.5,0.83,78.27,-78.45,850,8,8,20,20,69,142,17.4,9,55,1.5,42,48,11.3,9,1,50,55,11,21,15.6,16,42,6.5,,,,3,1,2,
7,Pholidostachys,dactyloides,,NY,Balslev,62023,Ecuador,0.22,-0.36,79.2,-79.33,300,6.5,7,15,45,20,110,14,7,64,2,58,,19.7,11,1,39,,,14,10.3,9,,,,,1,3,,2,
18,Pholidostachys,dactyloides,,NY,Barfod,60109,Ecuador,0.46,0.76,78.54,-78.9,100,4.5,5.5,17,14,122,157,,9,,,,,,,1,52,50,10.5,21,8.7,8,43.5,5.2,,,1,,,2,
2,Pholidostachys,dactyloides,,NY,Bergmann,62180,Ecuador,2.55,-2.91,79.35,-79.58,20,8,9.5,11,,,134,15.2,12,,2,62,41.5,4.5,12,1,,,5,11.5,9.7,11,32,4.5,10.2,7.6,1,3,,2,3
126,Pholidostachys,dactyloides,,COL,Bernal,2495,Colombia,1.2,1.33,78.07,-78.11,1100,6,10,25,,,96,,8,,,,,,,1,,,,,,,,,,,1,,,2,
278,Pholidostachys,dactyloides,,COL,Bernal,4228,Colombia,2.35,2.58,77.53,-77.88,10,3.5,4,8,,,75,,8,,,,,,,,,,,,,,,,,,,,,,
116,Pholidostachys,dactyloides,,COL,Bernal,1519,Colombia,3.54,3.9,76.38,-76.63,525,4,9,18,,,130,12.8,8,,,,,,,1,,,,,,,27.5,6.4,,,1,,,2,
119,Pholidostachys,dactyloides,,COL,Bernal,680,Colombia,6.13,6.21,76.43,-76.71,80,3.5,7,15,,,123,,11,,,,,,,1,,,,,,,23,4.8,9.1,7,1,,1,2,
120,Pholidostachys,dactyloides,,COL,Bernal,424,Colombia,7.18,7.3,76.3,-76.5,100,6,7,15,,,155,,9,,,,,,,1,,,,,,,17,5.3,9.3,7.3,1,,1,2,
130,Pholidostachys,dactyloides,,COL,Bernal,1035,Colombia,5.17,5.28,76.22,-76.36,250,5,8,15,,,108,7.9,8,,,,,,,1,,,,,,,34.5,7.5,16.3,11.5,1,3,1,2,3
12,Pholidostachys,dactyloides,,NY,Bernal,876,Colombia,1.45,1.75,78.48,-78.8,100,4,8,12,50,40,127,8.5,8,53,1.5,70,46.5,15.3,20,1,,,7,16,7.1,10,27,4.5,8.8,6.2,1,3,,2,3
17,Pholidostachys,dactyloides,,NY,Bernal,302,Colombia,6.44,6.74,76.22,-76.36,950,3.8,,20,,,68,9.2,9,,,,36.5,12.5,15,1,,,2.5,8.5,10,13,17,6.7,,,1,3,1,2,
1,Pholidostachys,dactyloides,,NY,Bernal,74,Colombia,5.5,5.83,76.15,-76.25,,5.7,8.2,13,39,20,120,13.3,9,34,0.8,33,,,,1,,,,,12.8,7,43,9.2,14.6,10.2,1,3,1,2,3
6,Pholidostachys,dactyloides,,NY,Bernal,351,Colombia,6.34,6.58,76.14,-76.24,800,7,7,15,25,50,109,15.7,10,50,2.5,62,58,18,,1,,,5,14.5,11.5,11,33,8.4,12.5,9.7,,3,1,2,3
195,Pholidostachys,dactyloides,,MO,Cerón,10131,Ecuador,0.03,0.05,79.07,-79.11,725,,,,,,,,,,,,,,,1,,,,,10.9,,35.5,5.6,,,,3,,2,
151,Pholidostachys,dactyloides,,MO,Cogollo,5056,Colombia,6.33,6.55,76.19,-76.31,932,3,5,,,50,100,8.1,9,36,0.7,52,,10,14,1,,,,,6.8,10,16,5.4,10.7,7.6,1,3,,2,3
19,Pholidostachys,dactyloides,,NY,Cogollo,3473,Colombia,6.34,6.56,76.19,-76.31,1440,2,4.5,,,,,11.3,,,,,44,9,16,1,,,,,,8,,,11.9,8.3,,,,2,3
95,Pholidostachys,dactyloides,,BH,Cook,165,Colombia,3.56,3.93,77.01,-77.01,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.8,5.9,,,,,3
217,Pholidostachys,dactyloides,,AAU,Cornejo,4713,Ecuador,2.05,-2.08,79.03,-79.05,500,,9.2,17,,,,14.4,,,,,,12.7,7,1,,,5.5,14,12.3,9,33.5,8.4,,,,3,1,2,
215,Pholidostachys,dactyloides,,AAU,Cornejo,6593,Ecuador,0.21,0.35,78.34,-78.56,500,,,,,,,,,,,,,12,,1,,,6.5,11.5,6.1,11,33,5.4,,,,3,,2,
218,Pholidostachys,dactyloides,,AAU,Cornejo,3804,Ecuador,0.29,0.48,78.26,-78.44,190,,,12,,,,,,,,,,,,1,,,,20,7.5,10,21.5,4.7,9,5.8,,3,,2,3
183,Pholidostachys,dactyloides,,MO,Croat,61463,Ecuador,0.05,0.08,79.02,-79.03,750,,12,,,,,15.8,,,1.7,43,,,,1,,,4.5,12.7,12.3,9,42,6.9,,,,3,1,2,
104,Pholidostachys,dactyloides,,BH,Cuatrecasas,15982,Colombia,3.24,3.41,77.21,-77.35,15,10,6.5,,,,,,10,,,,,,,1,,,,,14,5,37,6.1,13.3,9,,3,,2,3
122,Pholidostachys,dactyloides,,COL,Cuatrecasas,17257,Colombia,3.28,3.46,77.13,-77.21,5,10,8,,,45,,,,,,,,,,1,,,,,10.1,,,,15.7,9.5,,3,,,3
8,Pholidostachys,dactyloides,,NY,de Nevers,8402,Panama,8.04,8.06,77.14,-77.23,1375,8.5,,20,30,80,110,10.6,8,,2.6,30,37.5,19.5,,1,30,,3.5,13,10.7,14,22.5,5.6,12.8,8,1,3,1,2,3
105,Pholidostachys,dactyloides,,BH,Dodson,8706,Ecuador,0.34,-0.56,79.16,-79.26,600,,,,,,,12.3,,,1.7,,,,,1,,,,,,12,46,7.7,14.5,8.1,,,,2,3
159,Pholidostachys,dactyloides,,MO,Dodson,8630,Ecuador,0.34,-0.56,79.16,-79.26,600,,,,,,,,,,,,,,,,,,,,,,,,13.2,8.1,,,,2,3
158,Pholidostachys,dactyloides,,MO,Dodson,5604,Ecuador,0.35,-0.586,79.21,-79.36,,,10,,,,,,,,,,,,,,,,,,4.7,2,,4.7,10.8,7.1,,3,,2,3
186,Pholidostachys,dactyloides,,MO,Dodson,10323,Ecuador,0.37,-0.61,79.18,-79.3,600,10,10,,,,,,,,,,,,,1,,,,,5.9,6,36.5,4.6,,,,3,1,2,
15,Pholidostachys,dactyloides,,NY,Dodson,14491,Ecuador,0.37,-0.61,79.18,-79.3,650,,,,,,,19.1,8,,4,60,,22.5,12,1,,,,,15.2,,44,8.1,15.1,8,,3,,2,3
192,Pholidostachys,dactyloides,,MO,Folsom,6639,Panama,8.5,8.83,78.25,-78.42,550,,,,,,,,,,,,,,,1,,,,,8,,15.5,5.8,,,,3,,2,
124,Pholidostachys,dactyloides,,COL,Galeano,451,Colombia,5.46,5.76,76.27,-76.45,150,6,7,9,,,221,,9,,,,,,,1,,,,,,,,,,,1,,1,2,
117,Pholidostachys,dactyloides,,COL,Galeano,445,Colombia,5.46,5.76,76.27,-76.45,150,6.2,8,11,65,50,231,20.1,12,,,,,,,1,,,4,21.5,14.4,13,40,7.2,,,1,,,2,
123,Pholidostachys,dactyloides,,COL,Gentry,35374,Colombia,3.55,3.91,77.07,-77.11,50,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,
160,Pholidostachys,dactyloides,,MO,Gentry,56886,Colombia,3.56,3.93,77.08,-77.13,50,,10,,,,,18.1,13,,,,,,,1,,,,,,,75,8.4,,,,3,,2,
162,Pholidostachys,dactyloides,,MO,Gentry,36970,Colombia,5.3,5.5,76.37,-76.61,100,2,,,,,,,,,,,,,,1,,,,,9,7,35,6.4,,,,3,1,2,
177,Pholidostachys,dactyloides,,MO,Gentry,36843,Colombia,5.3,5.5,76.37,-76.61,100,,,,,,,13.2,,,,,,,,,,,,,,,,6.3,,,,3,,2,
11,Pholidostachys,dactyloides,,NY,Janovec,1284,Ecuador,0.5,0.83,78.55,-78.91,200,8,,,,,,11.9,7,83,4.5,54,,19.5,10,1,,,8.5,19.5,8,7,37,6.5,,,,3,,2,
193,Pholidostachys,dactyloides,,MO,Juncosa,1316,Colombia,5.12,5.2,76.37,-76.61,60,2,,,,,,18.5,,,4,,,,,1,,,,,13.5,9,38.5,4.7,,,,3,1,2,
219,Pholidostachys,dactyloides,,AAU,Løjtnant,15866,Ecuador,0.34,-0.56,79.19,-79.31,600,5,6.5,15,,,,,,,,,,17.5,,1,,,,,,,,7.5,,,1,3,,2,
154,Pholidostachys,dactyloides,,MO,Monsalve,971,Colombia,3.55,3.91,77,-77,100,,,,,,,,,,,,,,,1,,,,,8.4,5,36,6.9,,,,3,,2,
108,Pholidostachys,dactyloides,,BH,Moore,10211,Ecuador,0.36,-0.6,79.22,-79.36,,,,,110,,170,11.5,8,,4,,,,,1,,,7,19,9.7,14,48,5.7,14.5,8.8,1,3,,2,3
4,Pholidostachys,dactyloides,,NY,Orozco,2233,Colombia,5.27,5.45,76.03,-76.05,975,,,,,,,13.1,,52,3,47,,22.4,10,1,,,5.5,14.5,14.1,8,34,6.9,,,,3,1,2,3
16,Pholidostachys,dactyloides,,NY,Ortiz,124,Ecuador,1,1,78.33,-78.55,450,,,,,,,10.2,6,49.5,1.6,72,42,17,18,1,,,,,7.5,11,33,5.7,,,,3,1,2,
188,Pholidostachys,dactyloides,,MO,Palacios,11314,Ecuador,0.43,0.71,78.53,-78.88,150,,8,6,,,,,,,,,,,,1,,,7,20.5,7.4,,,4.9,10.5,6.6,,3,,2,3
165,Pholidostachys,dactyloides,,MO,Quelal,690,Ecuador,1.01,1.01,78.16,-78.26,900,,,,,,,11.1,15,,1.7,48,,,,1,,,,,10.5,11,39,6,,,,3,,2,
153,Pholidostachys,dactyloides,,MO,Rubio,1473,Ecuador,1.09,1.15,78.31,-78.51,80,,,,,,,8,8,,1.2,74,,,,1,,,,,7.6,7,32,5,,,,3,1,2,
155,Pholidostachys,dactyloides,,MO,Rubio,1137,Ecuador,1.02,1.03,78.26,-78.43,250,,,,,,,12.8,7,,1.8,68,,13,,1,,65,,,,9,,,,,,3,1,2,
118,Pholidostachys,dactyloides,,COL,Siefke,4,Colombia,1.24,1.4,78.34,-78.56,60,,5.5,21,,110,,,7,,,,,,,1,,,,,,9,37,,,,1,,,2,
209,Pholidostachys,dactyloides,,AAU,Skov,64707,Ecuador,0.04,0.06,79.03,-79.05,500,3,6,17,,70,175,15.2,8,87.5,7.5,45,45,16,,1,,,,12,11.9,9,42,6.3,11.8,7.1,1,3,,2,3
178,Pholidostachys,dactyloides,,MO,Tipaz,1369,Ecuador,1,1,78.24,-78.4,,,,,,,,,,,,,,,,1,,,,,,9,,4.5,,,,3,1,2,
157,Pholidostachys,dactyloides,,MO,Vargas,6108,Ecuador,2.25,-2.41,79.14,-79.23,550,,,,,,,10.2,10,,1,,,,,2,,,,,12.9,,,6.9,13.4,7.9,,3,,2,3
161,Pholidostachys,dactyloides,,MO,Vargas,5591,Ecuador,2.33,-2.55,79.21,-79.35,,,,,,,,11.6,,,2.2,48,,,,,,,,,,,,,11.6,7.5,,,,2,3
5,Pholidostachys,occidentalis,,NY,Balslev,62096,Ecuador,0.5,0.83,78.27,-78.45,850,11,7,18,20,45,150,17.7,12,34,1.4,61,51,16.5,28,1,62,59,4,72,10.5,7,43,7.1,,,1,1,2,3,
59,Pholidostachys,occidentalis,,NY,Balslev,60678,Ecuador,0.17,-0.28,79.15,-79.25,300,2.5,15,20,,,,13.4,13,42,3,48,34,16.5,18,1,,,,75.5,12.5,7,,7.7,16.2,9.8,1,1,2,3,1
140,Pholidostachys,occidentalis,,COL,Bernal,1536,Colombia,3.53,3.88,76.37,-76.61,925,4.5,10,13,,,194,,13,,,,,,,,,,,138,,7,,,,,1,,2,3,
53,Pholidostachys,occidentalis,,NY,Bernal,906,Colombia,1.19,1.33,78.09,-78.15,1200,3.5,8,14,,,186,7.8,12,43,2,60,41,18,29,1,,,,171,10.9,7,64,7.8,,,1,1,2,3,
68,Pholidostachys,occidentalis,,NY,Betancur,3191,Colombia,5.26,5.43,76.02,-76.03,1500,7,,15,16,60,,16.5,8,43,4,40,36.5,10,20,,,,,,,,37,8.4,,,1,1,2,3,
164,Pholidostachys,occidentalis,,MO,Boyle,2048,Ecuador,1.02,1.03,78.15,-78.25,1240,3,8.3,,,,,11.5,,,1.7,,,17.4,25,1,,,11.5,,6.3,,53,7.1,16.8,8.5,1,1,2,3,1
81,Pholidostachys,occidentalis,,NY,Clark,3976,Ecuador,0.22,0.36,79.44,-79.73,650,,10.4,,,,,22.6,,51,3.3,65,,,,1,,,,,8.3,6,64,7.6,,,,1,,3,
214,Pholidostachys,occidentalis,,AAU,Cornejo,4253,Ecuador,2.03,-2.06,79.06,-79.1,400,,,,,,,,,38.5,4,56,,25.5,,1,,,,,11.1,6,,7.9,18,9.7,,1,,3,1
110,Pholidostachys,occidentalis,,BH,Dodson,9093,Ecuador,3.43,-3.73,79.43,-79.72,850,,,,,,,10.7,,,6.5,,,,,,,,,,,,,6.3,,,,1,,3,
163,Pholidostachys,occidentalis,,MO,Hammel,17148,Colombia,1.15,1.25,78.07,-78.11,1000,,,,,,,17.3,,,3.2,,,,,1,,,,,8.2,7,33,6.5,,,,1,2,3,
51,Pholidostachys,occidentalis,,NY,Henderson,138,Colombia,6.45,6.75,76.18,-76.3,1000,2.5,7,17,40,,198,24.4,12,50,3.4,67,41,25,29,1,,,,,11.5,8,46,8.6,,,1,1,2,3,
200,Pholidostachys,occidentalis,,AAU,Knudsen,451,Ecuador,1.38,-1.63,79.19,-79.31,600,8,11,12,,,,13.8,,83,10,34,54,18.5,25,1,,,,,9.5,9,60.5,6.8,,,,1,,3,
202,Pholidostachys,occidentalis,,AAU,Knudsen,9606,Ecuador,1.38,-1.63,79.19,-79.31,500,,15,,,,,22,,48,3.3,57,,19.5,,,,,,,,,57,7.3,,,,,2,3,
221,Pholidostachys,occidentalis,,AAU,Knudsen,9605,Ecuador,1.38,-1.63,79.19,-79.31,500,,15,12,,,,18.1,,41.5,5.3,54,,,,,,,,,12.2,,,7.5,,,,1,,3,
179,Pholidostachys,occidentalis,,MO,Palacios,13689,Ecuador,0.19,0.31,79.46,-79.76,550,,,,,50,,,,,,,,,,1,,,,,,,,6.3,,,,,,3,
135,Pholidostachys,occidentalis,,COL,Sánchez,1080,Colombia,6.45,6.75,76.18,-76.3,1600,7,8,,,,234,,13,,,,,,,,,,,,,11,,,,,1,,2,3,
253,Pholidostachys,panamensis,,MO,de Nevers,8043,Panama,9.23,9.38,78.48,-78.8,450,1.5,,,,137,150,6.1,6,,9.5,43,,16.7,15,0,,,,,,1,,,,,,5,1,1,
254,Pholidostachys,panamensis,,MO,de Nevers,8552,Panama,9.19,9.31,78.55,-78.91,350,1.5,11,15,27,150,121,,6,,,,,18.5,,0,16.5,,,,,1,,,,,1,5,,,
255,Pholidostachys,panamensis,,MO,de Nevers,7031,Panama,9.24,9.4,79.07,-79.11,60,1.5,,12,,110,155,10.7,5,42,2.3,55,49.5,21.5,13,0,16,19,5,,,1,,,,,1,5,1,1,
278,Pholidostachys,panamensis,,MO,de Nevers,7310,Panama,9.19,9.31,78.55,-78.91,350,1.3,,8,19,112,155,9.7,7,67,8.7,39,32.5,18.5,18,0,18.5,22.5,3.7,6.2,8.4,1,15.5,10.8,22.5,21.8,1,5,1,1,4
279,Pholidostachys,panamensis,,MO,de Nevers,7644,Panama,9.25,9.41,79.11,-79.18,65,1.5,,19,24,98,111,11.1,6,70.5,6.5,42,46,15.5,21,0,17.3,,,,,1,,9.8,,,1,5,1,1,
47,Pholidostachys,panamensis,,NY,de Nevers,4467,Panama,9.19,9.31,78.55,-78.91,350,3,,10,,,,9.6,,63.5,4.5,50,47,21.5,20,0,,,,,13.5,1,,,,,,5,1,1,
48,Pholidostachys,panamensis,,NY,de Nevers,6964,Panama,9.2,9.33,79.08,-79.13,450,1.1,,13,17,112,150,7.2,5,78,10,42,48,15.5,13,0,,,,,,1,13.7,8.7,31.5,18.9,,5,,1,4
49,Pholidostachys,panamensis,,NY,de Nevers,6371,Panama,8.38,8.63,80.39,-80.65,700,0.3,,,,,,9.8,,34.5,2.3,51,35,27,,0,11.5,19,2.5,,,1,,,32.1,24.5,1,5,1,1,4
46,Pholidostachys,panamensis,,NY,de Nevers,6767,Panama,8.34,8.56,80.56,-80.93,700,0.45,6,8,27,36,95,,6,,,,45,21.7,18,0,11.5,,,,,1,,8.7,,,1,5,1,1,
280,Pholidostachys,panamensis,,MO,Hammel,13661,Panama,8.38,8.63,80.38,-80.63,750,,,,,,,6.9,,,,,,16.5,,0,,,,,,1,,10.5,,,,5,1,1,
28,Pholidostachys,panamensis,,NY,Henderson,3037,Panama,8.4,8.66,80.35,-80.58,724,0.35,8,11,15,62,72,7.1,5,38,2.3,45,36,13,10,0,,,2,4,8.2,1,11.5,8.2,,,1,5,1,,
281,Pholidostachys,panamensis,,MO,Liesner,1255,Panama,9.18,9.31,78.56,-78.94,350,1,,,,,,,5,,,,,,,0,,,,,,1,,11.2,28.2,18.1,,5,1,1,4
210,Pholidostachys,panamensis,,AAU,Roncal,319,Panama,8.4,8.66,80.35,-80.58,768,0.12,,12,,,,10.2,8,,,,,10,28,0,,,,,,1,,12.1,,,,5,1,1,
50,Pholidostachys,panamensis,,NY,Roncal,334,Panama,8.4,8.66,80.35,-80.58,695,0.55,4.4,12,,,,8.7,7,28.5,0.7,47,,,,0,,,,3.5,,1,,,,,,5,,,
102,Pholidostachys,pulchra,,BH,Anderson,13,Colombia,3.56,3.93,77.01,-77.01,,3,5,9,32,105,130,13.1,5,,0.8,,54,4.3,,0,,,,,5.3,1,60,7.2,,,1,4,2,1,
35,Pholidostachys,pulchra,,NY,Bacon,65,Costa Rica,10.25,10.42,84,-84,34,,,,,,,6.2,,,1.5,70,,,,0,,,,,6,1,,9.2,,,1,4,2,1,
129,Pholidostachys,pulchra,,COL,Bernal,1759,Colombia,3.1,3.16,77.22,-77.36,100,2,3,8,,,56,,4,,,,,,,0,,,,,,1,,,,,1,,2,1,
45,Pholidostachys,pulchra,,NY,Bernal,1076,Colombia,5.5,5.83,76.4,-76.66,150,1.6,3.5,10,20,85,62,4.3,5,44.5,0.7,93,44,4,27,0,14.5,,,,,1,,,13.9,8.7,1,4,2,1,1
27,Pholidostachys,pulchra,,NY,Betancur,2972,Colombia,5.17,5.28,76.13,-76.21,600,,,,24,150,58,7.1,4,,1.5,,,,,0,,,,10,5.6,1,,7.6,,,1,4,2,1,
233,Pholidostachys,pulchra,,MO,Boyle,1427,Costa Rica,10.19,10.31,84.04,-84.06,520,,3.5,,,80,,,6,,,,,,,0,,,,16.5,4.1,1,29.5,6.6,,,,4,2,1,
31,Pholidostachys,pulchra,,NY,Boyle,2862,Costa Rica,10.17,10.28,84.04,-84.06,750,4,4,,,,,5.3,,,1.5,62,,,,0,,,,,,1,,10.6,26.1,12.8,,4,2,1,1
197,Pholidostachys,pulchra,,F,Bunting,772,Nicaragua,11.01,11.02,84.24,-84.4,,3.5,4,,,,,6.1,,61,1.8,65,,,,0,,20.5,,,,1,,6.9,20.4,10.1,1,4,2,1,1
256,Pholidostachys,pulchra,,MO,Busey,883,Panama,9.23,9.38,78.58,-78.96,500,,,,,,,8.1,,,1.2,,,,,0,11.5,,3,14,5.4,1,37,9.1,24.2,11.6,,4,2,1,1
249,Pholidostachys,pulchra,,MO,Cannarella,8812,Costa Rica,10.25,10.43,84,-84,100,,,,,,,6.2,,,1.3,,,,,0,,,3.4,14,5.3,1,,8.7,23.1,9.6,,4,2,1,1
270,Pholidostachys,pulchra,,MO,Correa,677,Panama,9.19,9.31,79.39,-79.65,,,,,,,,,,,,,,,,,,,,,,,,,22.2,9.8,,,,,1
96,Pholidostachys,pulchra,,BH,Croat,33765,Panama,9.17,9.29,78.56,-78.93,330,,,,,,,,,,,,,,,0,17.5,,,,,1,68,13.3,,,,4,2,1,
267,Pholidostachys,pulchra,,MO,Croat,23014,Panama,8.3,8.5,81.06,-81.11,1000,,,,,,,,5,,,,,,,0,,28.5,5,10.5,4.8,1,20,8.9,23.4,11.9,,4,2,1,1
263,Pholidostachys,pulchra,,MO,Croat,26038,Panama,9.16,9.26,78.56,-78.94,,,,,,,,,,,,,,,,0,,,,,,1,,10.5,21.7,11.3,,4,2,1,1
127,Pholidostachys,pulchra,,COL,Cuatrecasas,14012,Colombia,3.15,3.25,77.25,-77.41,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Pholidostachys,pulchra,,COL,Cuatrecasas,17377,Colombia,3.28,3.46,77.13,-77.21,42,,,,,,,,,,,,,,,0,,,,,3.6,1,,,15,6.6,,4,2,1,
241,Pholidostachys,pulchra,,MO,Davidse,31013,Costa Rica,10.4,10.66,83.4,-83.66,65,3,,,,,,6.3,,,,,,,,0,21.5,,,,,1,,8.6,25.7,11.6,1,4,2,1,1
264,Pholidostachys,pulchra,,MO,de Nevers,6713,Panama,8.42,8.7,80.28,-80.46,500,5,,,,,,4.7,,,0.8,71,30.5,5.5,13,0,,,,11,5.8,1,27,6.9,,,2,4,2,1,
259,Pholidostachys,pulchra,,MO,de Nevers,8551,Panama,9.19,9.31,78.55,-78.91,350,4,3.75,,30,80,70,6.5,7,,1.3,,,12,,0,14.7,,1.5,10.5,6.4,1,,11.5,22.2,11.2,2,4,2,1,1
262,Pholidostachys,pulchra,,MO,de Nevers,7972,Panama,9.23,9.38,78.48,-78.8,200,5,,,,,,9.3,,,1.5,70,44,19,14,0,21,,,,,1,,10.7,,,2,4,2,1,
29,Pholidostachys,pulchra,,NY,de Nevers,10598,Panama,8.4,8.66,81.05,-81.08,500,1.5,,,,,,,3,,0.8,,,11,,0,,,,,3.6,1,,,,,1,4,2,1,
23,Pholidostachys,pulchra,,NY,de Nevers,4285,Panama,9.19,9.31,78.55,-78.91,275,4,,,,,,7.2,,48,0.5,45,,20,,0,,,,17,6.7,1,,,20.4,10.9,,4,2,1,1
25,Pholidostachys,pulchra,,NY,de Nevers,6160,Panama,9.19,9.31,78.55,-78.91,350,5,,,,,84,7.3,,,1,52,39,14,15,0,29,27,5,17,5.2,1,,10.8,20.2,11.6,1,4,2,1,1
30,Pholidostachys,pulchra,,NY,de Nevers,10653,Panama,9.2,9.33,79.45,-79.75,350,5,5,,,,,6.6,,,,,,,,0,8.3,,,,4,1,,,,,1,4,2,1,
36,Pholidostachys,pulchra,,NY,de Nevers,4465,Panama,9.19,9.31,78.55,-78.91,250,4,4,,,,,10.6,,56,1.5,60,,8.5,17,0,,22,2,,,1,,10,20.4,9.6,1,4,2,1,1
38,Pholidostachys,pulchra,,NY,de Nevers,6294,Panama,9.18,9.3,79.16,-79.26,825,4,,,,,,,,,,,37,10,11,0,17.5,,4.2,15.5,,1,,,,,1,4,2,1,
39,Pholidostachys,pulchra,,NY,de Nevers,6654,Panama,9.23,9.38,78.51,-78.85,415,5.45,,16,,79,103,11.5,7,56.5,1.2,,,,,0,24,52,2.5,19.5,,1,85,10.9,23.4,10,2,,2,1,
40,Pholidostachys,pulchra,,NY,de Nevers,6246,Panama,9.18,9.3,79.16,-79.26,750,6,,,40,62,79,8.1,7,46,0.4,56,37.5,9.7,16,0,22,,,,,1,,10.6,,,1,4,2,1,
41,Pholidostachys,pulchra,,NY,de Nevers,5432,Panama,9.18,9.3,79.16,-79.26,850,5,,,,,,6,,51.5,1.3,49,45,14.2,15,0,20,,6,13.5,5.9,1,,10.5,22.4,11.2,,4,2,1,1
43,Pholidostachys,pulchra,,NY,de Nevers,5206,Panama,9.19,9.31,78.55,-78.91,350,6,,,,,,,,,,,,8,17,0,6.6,,,,,1,,,,,,4,2,1,
44,Pholidostachys,pulchra,,NY,de Nevers,5364,Panama,9.19,9.31,78.55,-78.91,200,4,,,,,,6.7,,40,0.5,71,45,12,21,0,10,36,4.5,20,11.8,1,57,16.2,19.9,10,,4,2,1,1
285,Pholidostachys,pulchra,,K,Dransfield,4906,Costa Rica,10.26,10.43,84.02,-84.03,100,4,7,14,20,80,,,7,,,,,,,0,10.5,20.2,3.7,14,4.2,1,,8.3,22,10,1,4,2,1,1
257,Pholidostachys,pulchra,,MO,Folsom,5250,Panama,8.4,8.66,80.36,-80.6,700,,,,,,,,,,,,,,,0,19,46,,,,1,,8.4,25.5,12.1,,4,2,1,1
269,Pholidostachys,pulchra,,MO,Folsom,1488,Panama,9.16,9.26,78.55,-78.92,425,,,,,,,,,,,,,,,0,,,1.1,19.5,7.5,1,,11.7,22.3,10.3,,4,,1,1
248,Pholidostachys,pulchra,,MO,Frankie,430,Costa Rica,10.25,10.43,84,-84,,,,,,,,6.9,,,1.3,51,,,,0,,,,,,1,,7.6,21.8,9.1,,4,2,1,1
284,Pholidostachys,pulchra,,COL,Galeano,8129,Colombia,4.04,4.06,77.12,-77.2,54,3,5,8,48,91,77,,5,,,,,,,0,,,10,33,7.1,1,84,10.4,11.5,6.8,1,4,2,1,
142,Pholidostachys,pulchra,,COL,Galeano,406,Colombia,5.46,5.76,76.27,-76.45,150,2,4,7,40,49,61,6.7,6,44,0.5,58,44,8.5,19,0,13.5,12.5,2,6.5,,1,14,9.1,,,1,4,2,1,
